date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:00	254/254	---M--	200	added ('OK')	text/plain	date:Thu,%2014%20Nov%202024%2000:18:58%20GMT	https://store.steampowered.com/robots.txt		(from )
16:31:01	181176/181176	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2009:31:01%20GMT	https://store.steampowered.com/app/774171/Muse_Dash/	C:/nini/nicodeTvT/musedash-web/store.steampowered.com/app/774171/Muse_Dash/index.html	(from )
16:31:01	2604/2604	---M-Z	200	added ('OK')	text/css	etag:%22gcaj3D0J0rdC%22	https://store.cloudflare.steamstatic.com/public/shared/css/motiva_sans.css?v=gcaj3D0J0rdC&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/motiva_sans989c.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:01	88162/88162	---M-Z	200	added ('OK')	text/css	etag:%22YJI88-nWk5KF%22	https://store.cloudflare.steamstatic.com/public/shared/css/shared_global.css?v=YJI88-nWk5KF&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/shared_global0bfa.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:01	32716/32716	---M-Z	200	added ('OK')	text/css	etag:%22zHbJC_Ap8iNW%22	https://store.cloudflare.steamstatic.com/public/shared/css/buttons.css?v=zHbJC_Ap8iNW&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/buttons64eb.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:02	126952/126952	---M-Z	200	added ('OK')	text/css	etag:%22hpGxTPsxjHMI%22	https://store.cloudflare.steamstatic.com/public/css/v6/store.css?v=hpGxTPsxjHMI&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/css/v6/storef8e3.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:02	8650/8650	---M-Z	200	added ('OK')	text/css	etag:%22PE5f8aXsrgdJ%22	https://store.cloudflare.steamstatic.com/public/shared/css/user_reviews.css?v=PE5f8aXsrgdJ&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/user_reviews09c2.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:02	12967/12967	---M-Z	200	added ('OK')	text/css	etag:%22_BWymV-JNsdC%22	https://store.cloudflare.steamstatic.com/public/shared/css/store_game_shared.css?v=_BWymV-JNsdC&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/store_game_sharedd22d.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:02	156203/156203	---M-Z	200	added ('OK')	text/css	etag:%22ak2cJPvnkFZS%22	https://store.cloudflare.steamstatic.com/public/css/v6/game.css?v=ak2cJPvnkFZS&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/css/v6/game7953.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:03	64743/64743	---M-Z	200	added ('OK')	text/css	etag:%22UYvQKOREhFHW%22	https://store.cloudflare.steamstatic.com/public/css/v6/recommended.css?v=UYvQKOREhFHW&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/css/v6/recommended9b12.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:03	569/569	---M-Z	200	added ('OK')	text/css	etag:%22nDJVyLGQ1XMI%22	https://store.cloudflare.steamstatic.com/public/css/v6/user_reviews_rewards.css?v=nDJVyLGQ1XMI&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/css/v6/user_reviews_rewards8769.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:03	27194/27194	---M-Z	200	added ('OK')	text/css	etag:%22zwGY_lnJg1BO%22	https://store.cloudflare.steamstatic.com/public/shared/css/apphub.css?v=zwGY_lnJg1BO&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/apphub63c5.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
16:31:03	27592/27592	---M-Z	200	added ('OK')	text/css	etag:%22qgq7mHqEwLbE%22	https://store.cloudflare.steamstatic.com/public/shared/css/ui-lightness/jquery-ui-1.7.2.custom.css?v=qgq7mHqEwLbE&l=english&_cdn=cloudflare	C:/nini/nicodeTvT/musedash-web/store.cloudflare.steamstatic.com/public/shared/css/ui-lightness/jquery-ui-1.7.2.customc743.css	(from https://store.steampowered.com/app/774171/Muse_Dash/)
